Model,Accuracy (%),F1 Macro,F1 Weighted,Inference (ms),Model Boyutu (MB)
simple_cnn,93.56,0.9071,0.9379,49.98,3.7
mobilenet_v2,54.66,0.4423,0.5431,54.99,12.8
